Unique_member_identifier,City,StateProv,FSA,PointsTotal,LanguagePreference,gender,age_class
AF0AB2FA-26DE-4B68-8553-551DDB415C3C,Conne River,NL,A0H,4809,English,Male,18-24
535313AA-AE9C-42AC-A631-D61EED098368,Scarborough,ON,M1H,4999,English,Female,25-34
436B5A17-E222-4BEB-A384-238F8F92DA22,Surrey,BC,V3T,3,English,Female,25-34
7C8A0192-FBA1-4410-A2EB-0F084139FED7,North Bay,ON,P1A,0,English,Female,14-17
71E233F8-A81C-483D-8A38-FE0A3CB05251,Windsor,ON,N8R,0,English,Male,45-54
E6CEDC07-A07D-4099-9781-BD072AF00312,Conception Bay South,NL,A1x,0,English,Male,14-17
56E4E159-57A7-4FFB-92F2-F4F5A6D68DBA,London,ON,N5X,0,English,Male,18-24
3AAB586A-1A20-4252-B82E-3FFD787F75DE,Toronto,ON,M9C,0,English,Female,18-24
5E4B2A8F-4536-4B3D-AC36-0A9AAE6530EA,Nanaimo,BC,v9r,910,English,Male,18-24
42C9ABC1-7371-4C99-BACF-652937AB85B7,Strathmore,AB,T1P,5961,English,Male,14-17
FED8649B-CB86-44EB-9B83-BC47F2C2A371,Toronto,ON,M8v,278,English,Female,25-34
91414978-E99B-4D0F-AA47-8CE4ACB12E09,Calgary,AB,T3K,0,English,Female,25-34
5603CCB5-6A32-445F-AFD3-101867F5E559,Saskatoon,SK,S7V,25,English,Male,45-54
FAA55F55-0B2F-4877-BD22-A294960F326B,Toronto,ON,M4C,2082,English,Female,18-24
0AD937F0-B1D9-4C13-BF54-84326A18F76A,Edmonton,AB,T6L,260,English,Male,14-17
0512D981-16B6-4177-BE70-9F7B67A03733,Fredericton,NB,E3B,1037,English,Female,25-34
649E75DE-9762-482B-A93B-68FD8A11BE74,Laval,QC,H7g,400,French,Female,25-34
874D6A54-5D78-4E8E-B139-38C29A51A06D,Haifax,NS,B3K,350,English,Male,25-34
0FF97903-EB79-4C01-8947-AA3EC2341BD0,Dartmouth,NS,B3A,46,English,Female,55+
4BD584FB-AB14-4728-BFB1-76180B091A42,Scarborough,ON,M1N,574,English,Male,55+
75BFAAF2-48E1-403A-BB47-A7DC0F9D9E3D,Mississauga,ON,L5M,6762,English,Female,35-44
7894CA17-5856-409A-AC69-9FC48988C3A5,Dieppe,NB,E1A,373,English,Male,45-54
CB142C5A-A60E-4CC2-89E2-6508D26E04B4,Saintecatherine,QC,J5C,1224,French,Male,25-34
1C903AB4-D9CB-4632-A653-9B59BE107A47,Toronto,ON,M5S,0,English,Male,25-34
39A9F189-7E5E-443E-846E-97E9460AC038,Oshawa,ON,L1L,510,English,Male,35-44
42C46B67-83D5-4803-BE4A-51EAB9F16882,Lefroy,ON,L0L,0,English,Female,18-24
0A1D3D1F-6042-4D16-8540-85EDA1A367DA,Surrey,BC,V3Z,701,English,Female,45-54
89006965-2326-414A-868A-0DC89F8F1F56,Riverview,NB,E1B,455,English,Female,18-24
6734A7E2-DEAF-4E88-8CD7-C646D5416378,Victoria,BC,V9B,0,English,Female,55+
B549B42A-6E6C-466D-B5B1-C28FECF9C252,Ajax,ON,L1Z,481,English,Male,45-54
01870ADD-8C92-4EB0-BAE5-A44FFF2B85BF,Guelph,ON,N1G,16,English,Female,18-24
F8389974-18D2-4915-AFFB-E6D2C0A10B2D,Toronto,ON,M6M,576,English,Male,14-17
F17CA1EC-5B5F-4189-BAB1-9808603EFF30,Winnipeg,MB,r3t,0,English,Male,25-34
D96F1832-3E6D-44DF-B1F6-C3418239498A,Surrey,BC,V3V,1784,English,Female,18-24
93AFD72E-722C-45FF-B952-548D54B02220,Edmonton,AB,T5E,2512,English,Female,25-34
47C17989-993B-48C4-8FB0-D1F028CD41D7,White Rock,BC,V4B,0,English,Male,55+
874A8287-9F1E-4ACE-B90A-8FF5ABFD05E4,Komoka,ON,N0L,0,English,Female,14-17
EF528268-0A46-4D4D-AC96-1461B87C1F0D,Kitchener,ON,N2M,22,English,Male,18-24
73E28F59-F177-4B2F-9BC1-03248619D56D,St Constant,QC,J5A,830,English,Male,25-34
FDBB171C-4B23-490A-BB11-4D6F94652717,Kitchener,ON,N2E,0,English,Female,18-24
8A4E71DA-1300-47F3-8369-6CE006FA7657,Creston South,NL,A0E,365,English,Male,35-44
D729800D-C0EF-4B9E-A093-A78EDEBBA993,Brampton,ON,L6X,1408,English,Female,25-34
88427406-E3A6-4A89-BCB5-D7676443D93D,Peterborough,ON,K9H,591,English,Female,18-24
39E020AD-EE35-42D3-90D8-66A9F4BC1AAB,Brossard,QC,J4Y,5044,French,Female,14-17
E559F799-4C46-427F-8FB4-D9F8D5B1942D,Welland,ON,L3C,10174,English,Male,18-24
BA3FDA59-EF04-4EFC-A880-F95AEE1FF154,Wasaga Beach,ON,l9z,635,English,Female,55+
CAE8160F-014F-40DB-9DC7-A3157B283BEC,Ingersoll,ON,N5C,121,English,Male,18-24
E10BB4ED-0A3B-4A43-974A-CF21C540AFD4,Hammonds Plains,NS,B3Z,144,English,Female,35-44
DDF5EACE-42CE-4A36-A55E-46B9B80D8A44,Calgary,AB,T1Y,1327,English,Female,35-44
31E5D421-DF62-4142-A550-24193A09CF3C,Scarborough,ON,M1E,208,English,Female,14-17
06C5960A-9470-4F8C-89CE-3C3E07F7A3DA,Surrey,BC,V3T,19,English,Female,25-34
A07F76AF-B75D-414A-B912-5BAA1BA23718,Brampton,ON,L6X,4593,English,Male,18-24
3DBFDD67-DEA4-4CE5-9A9F-CF73FC92A12E,Regina,SK,S4T,550,English,Female,25-34
9FA7D7F1-A405-442E-AB49-46A635E5BE55,St John,NB,e2j,0,English,Female,45-54
1D0249F7-B06C-457C-8519-860A793E1D3F,Richmond,BC,V6Y,1351,English,Female,55+
81185EEC-0808-43A1-9811-7ABFE44FA979,Dollard,QC,H9B,1316,English,Male,25-34
9925205F-CC52-4778-97C7-A361E0036F48,Scarborough,ON,M1P,30,English,Male,18-24
A43C216B-51AF-430B-8AA0-72A3C0241DF4,Renfrew,ON,K7V,892,English,Female,18-24
98E6901A-56F1-4B00-8C06-EDF765A777BE,St Catharines,ON,L2S,0,English,Female,35-44
CCA5C535-2E58-4E44-9D86-2E120C74415E,Vancouver,BC,v5y,0,English,Female,25-34
1D8EEAB1-DE3B-453E-BB93-BBFD962AA02C,Nanaimo,BC,V9R,643,English,Female,18-24
B258AB93-6A70-4C7D-8C79-A8DE040BA494,London,ON,N6P,0,English,Female,18-24
401A3A5A-9599-4D68-A8F2-BE8FC2F9F8D9,Oromocto,NB,E2V,135,English,Female,14-17
F7B9B4A4-D4FD-4F83-9DE0-71376608555F,Valley Mills,NS,B0E,0,English,Female,55+
01D7C7E4-88ED-4F68-BECE-AA40DA0D1C3D,Vancouver,BC,V6B,592,English,Male,25-34
E6887AEF-B631-4C7C-89D9-10398A1FC278,Hillview,NL,A0E,412,English,Female,55+
0C98D178-A0CF-440B-814C-6A065EC45690,Laval,QC,H7L,850,French,Female,18-24
EAE627C5-3B18-49E2-8D53-CB3151DC7606,St Johns,NL,A1K,100,English,Female,35-44
6CC4FD4A-EF3E-4F0D-8259-67A2619F209B,Stoney Creek,ON,l8j,0,English,Female,14-17
E927EAB2-206C-4F02-9A99-7F0A61BE6D10,Toronto,ON,M2R,994,English,Male,14-17
729835BC-0C60-433E-AC4C-44FF56E4966E,Quebec,QC,g2g,100,French,Female,45-54
565C35D2-3DB4-4FFA-BF92-66AB07B38EB9,Montreal,QC,h2t,350,French,Female,18-24
7AEE4C25-EC01-4457-9B7C-1CCEE53CE161,Enoch,AB,T7X,0,English,Female,18-24
7BCBB8DE-0B58-4134-9E81-FA4E5A1F770D,Surrey,BC,V3X,470,English,Male,35-44
4DADFB1D-3DEA-4F73-835B-6B4D5F02091B,Kirkland,QC,H9J,1639,English,Male,45-54
C3DCC6B7-1950-49D1-A06B-FFD09DCAB8F3,Peterborough,ON,K9J,1185,English,Female,18-24
BDB5A4B4-9346-465A-B774-0DC0387C978D,Chambly,QC,J3L,0,French,Male,35-44
EE738808-E2EA-4CF7-B987-FD00DA055161,Corner Brook,NL,A2H,361,English,Male,35-44
AFAEAE0D-E51A-44C5-AF05-7BA373CC02E2,Amherstview,ON,K7N,89,English,Male,14-17
5737A912-AC58-4647-A530-7078885F8E0B,New Minas,NS,B4N,866,English,Female,25-34
D4E57610-2373-4856-803C-E6077A0FAB7A,Collingwood,ON,L9Y,116,English,Male,55+
B3785EDF-0EB6-4F5B-8B04-18184871005C,Winnipeg,MB,R2W,9220,English,Male,35-44
6E80C595-A6C9-48F5-A095-C07AAEC2BB47,Winnipeg,MB,R3J,2714,English,Prefer not to answer,35-44
3A5D2B1E-CADC-49E2-B97F-E901A64F4E4D,Surrey,BC,V3W,7275,English,Male,35-44
9BE3E644-90FA-4853-AA19-48D2B54A5944,Gatineau,QC,J8P,1773,French,Female,35-44
19B20FB8-DD0D-4E31-87C5-52191135E04D,Newmarket,ON,L3X,0,English,Prefer not to answer,35-44
4134EC1F-4A1C-4AF1-92E6-3E8B4873F7C4,Cambridge,ON,N1R,0,English,Female,35-44
FB6BA442-6162-4F42-B614-BDEED292FD64,Whitby,ON,L1N,692,English,Female,18-24
81241740-29F0-4931-AF20-FB60BFA49226,Toronto,ON,M1H,0,English,Male,55+
B4830B14-8D80-4D61-A61D-323D91FAF1B0,Toronto,ON,M4C,0,English,Male,25-34
ECEFD88E-6812-4BCD-8C9C-0B4E29A5ACEB,Etobicoke,ON,L9A,4993,English,Male,18-24
E5D08EAF-6745-4A76-904C-6A7D0BA39A88,Taber,AB,T1G,3286,English,Male,35-44
571B73AB-4AF9-4D37-861F-B81C8B445AB1,Toronto,ON,M1J,0,English,Male,55+
0BCAB36A-D0EA-4BA4-B6D8-C7FD5BD47E12,East York,ON,M4C,1915,English,Male,35-44
14934304-6C8F-4DD0-BEEC-86C31B7DA93A,Lindsay,ON,K9v,450,English,Female,25-34
33EEF838-6A3E-48DB-806D-60443C2817AE,Bragg Creek,AB,t0l,600,English,Female,25-34
AB1D5258-DBD9-429C-946C-C0D264C84A08,Winnipeg,MB,R3M,1933,English,Female,25-34
42E119D6-35D5-4A80-8655-71ADE073A45B,Montreal,QC,H4G,0,English,Male,18-24
8CE497FC-1CEA-4D0E-BF3D-C66EA12972ED,Mississauga,ON,L5M,1026,English,Female,25-34
C850BCF1-C9D1-4B2D-B713-DFDBF41CC7D8,Winnipeg,MB,r3g,1408,English,Prefer not to answer,35-44
642C56D5-C9D6-498B-A824-81574CFE0CA3,Brampton,ON,L6S,658,English,Female,25-34
687889E5-F9E0-4B15-8A6D-C35EB4650670,Vancouver,BC,V5K,0,English,Male,18-24
AAEEAB30-8A91-469E-95D9-1CE50A6A7489,Thornhill,ON,L4J,840,English,Female,25-34
E9F51FB9-2121-4960-A527-40573093B54C,Toronto,ON,M5P,9317,English,Female,25-34
C1DF46B2-10B0-4EED-908D-5028EE0B7981,Midhurst,ON,L9z,770,English,Male,35-44
0AE99BD0-ED2F-4D1F-B981-1F10A7B7A34E,Victoriaville,QC,G6T,0,French,Male,14-17
2A71A798-30FC-4CBF-92C7-ED22C8BD846A,Sylvan Lake,AB,T4S,0,English,Male,35-44
26428F16-F427-4B85-8E39-DB9D266F689E,Oro Medonte,ON,L0L,1668,English,Female,25-34
5E581F90-C695-4C67-8A10-A93E254DC0EE,Colwood,BC,V9B,456,English,Prefer not to answer,14-17
12A2E606-0ACD-4525-AC4C-CCA1DB433852,Hagersville,ON,N0A,1779,English,Female,18-24
C34E5C9C-B070-454A-BD8C-37FAAB91B7EC,Sherwood Park,AB,T8A,0,English,Female,18-24
1D653D39-D24A-40FA-B16A-68D55FE709D8,Niagara Falls,ON,L2H,6837,English,Female,25-34
04779754-2AC5-4C36-B3ED-AE916FCEBEC4,Toronto,ON,M6p,114,English,Female,45-54
8756C077-B53A-48C2-BA87-2432A4D4BEC6,Toronto,ON,M4H,700,English,Female,35-44
53515841-454C-4345-802D-F6CE948A1B96,Binbrook,ON,L0R,454,English,Female,25-34
BF34D5BE-F26F-4093-97C1-7F501D44875F,St John,NB,E2L,0,English,Male,18-24
956B891F-8792-4324-8974-3F5BF104993B,Oakville,ON,L6J,0,English,Female,18-24
424E1920-5FBB-41E8-B5E4-887677CCCF67,Toronto,ON,m3c,400,English,Male,14-17
DCA3D3F5-A33D-4F0F-845B-2B05E388EB8A,Rankin Inlet,NU,X0C,2989,English,Female,18-24
4A8D716F-9FDA-4BCD-8D67-0789EC7CAB43,Montreal,QC,H4G,465,English,Female,18-24
C8F56B1F-934D-4013-B719-76D9ED3F501E,Richmond Hill,ON,L4S,0,English,Male,18-24
1044EAF3-B283-4103-BD2E-0DEDB00EBA01,Toronto,ON,M3N,904,English,Female,25-34
785D449D-FF3A-4209-84EF-B70673192657,Montreal,QC,H2G,5154,French,Male,35-44
9D62D098-B7D2-4018-A9D5-492388A65A53,Montreal,QC,H1l,770,French,Female,14-17
49A75830-9C83-4ACE-ADA1-0ADE43BE774E,Port Hope,ON,L1A,500,English,Male,18-24
228A13E3-E103-41AB-9426-8DE431278960,Moose Jaw,SK,S6H,5706,English,Male,14-17
FA77AC38-8041-4A7A-9927-6FC7BAC503CD,Toronto,ON,M1E,0,English,Female,35-44
EA5DF01E-2559-4BAE-8CCE-653545E712F6,Innisfil,ON,L9S,3380,English,Male,35-44
68D4F546-B9C5-471C-92BA-FB0B62A4D947,Brampton,ON,L6R,3645,English,Female,18-24
277C3B0B-916A-48AE-ABD2-F0A78CF59EBE,Calgary,AB,T2x,478,English,Female,18-24
721E0B2A-BD55-406A-998E-C854FBC7FAFE,Fraser Lake,BC,V0J,0,English,Female,35-44
2F6E3657-DEE3-4D36-A901-D375C31C59A1,Winnipeg,MB,R3E,319,English,Male,18-24
6E4EF873-941D-4CFA-B920-BFD3550219EE,Montréal,QC,H1K,0,English,Female,25-34
DE5D86B7-3A01-4FEC-876A-C56B85958E24,Kitchener,ON,N2C,7513,English,Male,25-34
F2E32216-624A-4C78-BA43-5CFCF80DC184,Medicine Hat,AB,T1A,5,English,Male,18-24
4D5A38A2-B01D-4C8F-9FFC-D9204ACEA112,London,ON,N5Y,345,English,Male,14-17
8B8D1240-E757-4C19-9517-7B127588B983,Toronto,ON,M6H,760,English,Female,18-24
7D57EE14-5AAB-46FB-8D99-99F285C071A5,St Catharines,ON,L2N,517,English,Female,25-34
0DB00D7A-044F-468E-9171-009EC868D2B8,Calgary,AB,T2E,296,English,Female,18-24
27BCD58B-620C-40A6-BAA0-A2B06FBC6CE7,Vaughan,ON,L4J,125,English,Female,35-44
DAF29737-EE76-4323-8FE5-80A5D9B12E03,Ottawa,ON,K1V,502,English,Male,55+
CF56C240-122A-49CA-B7A3-D0FB91E67013,Orangeville,ON,L9W,417,English,Male,45-54
D4B1E24B-8BA2-464B-9DB3-28B623D800E9,Regina,SK,S4T,0,English,Female,25-34
248E2DE7-8DB0-4A1D-AFF9-DFCC33D12719,Mississauga,ON,L5G,8085,English,Female,25-34
8A732151-F0E6-442E-9E40-599CFC1E3E04,Calgary,AB,T2J,795,English,Female,25-34
6842C8BB-C905-45B0-9015-1AD659AEC50A,Regina,SK,S4S,10907,English,Female,18-24
0B0EACBA-03AC-477C-B3E4-765E34B1ACBD,Kingston,ON,K7M,1000,English,Female,25-34
65B25CDD-6C85-46DF-8410-F10789637140,Scarborough,ON,M1C,1576,English,Male,18-24
DB30CB7E-3910-482A-B6A7-7F63D58DC094,Scarborough,ON,M1K,3,English,Female,25-34
55CADC28-C18C-4477-994A-48878694E10B,Clarkes Beach,NL,A0A,0,English,Male,25-34
1C32F3F5-A26F-4A7F-AE13-C28F1EA6A9E4,Jhjhbk,AB,m1h,600,English,Female,25-34
290D013E-D88D-4117-954E-FB86B7A44DAA,Cambridge,ON,N3H,1467,English,Female,25-34
7C4EEE4A-AA83-4E8F-A5CB-E0F87056691D,Atikokan,ON,p0t,1350,English,Female,35-44
4CBBF73D-B74E-4870-B55F-D4DB7AF328CE,Toronto,ON,M2L,350,English,Female,45-54
AFA8A434-3E2B-47E4-A56C-54D6E248CCDD,Niagara Falls,ON,L2E,0,English,Male,55+
0079BAD8-1184-4B03-A67D-993AB1549524,Calgary,AB,T3K,4258,English,Female,45-54
F578F659-8E81-4372-9237-56D4B0608016,New Lowell,ON,L0M,2487,English,Female,45-54
8FE96B48-43A9-4CAD-9864-5659C7203E8E,Brampton,ON,L6R,0,English,Female,35-44
1F7DE580-D95A-430F-BFC0-F68EA789FF36,Saintlazare,QC,J7T,171,English,Female,45-54
4768E6EE-E2E6-49ED-A33C-48C9847A7E20,Kelowna,BC,V1Z,0,English,Female,25-34
5FB2BE92-1170-48F5-9D31-6A505CB511A3,Stratford,ON,N5S,0,English,Female,35-44
11635BD5-559B-4A20-AD49-23CEB58F5AEB,Port Howe,NS,B0K,0,English,Male,18-24
913EC465-7381-4C0E-B092-A755DF962565,Montreal,QC,H4C,295,English,Male,25-34
A1ABBFC6-FC8D-426C-9338-E476D1214B02,Fort Lngley,BC,v1m,1160,English,Female,14-17
E8FEC946-6AAE-4CC8-9323-EC46EBFE1C23,Montreal,QC,H2X,121,French,Male,25-34
77A16776-C93F-4BAA-8255-8A801B549D36,St John,NB,E2M,567,English,Female,18-24
D0751F59-1A77-4C39-BBFF-C7FAB759A07F,Halifax,NS,B3H,2466,English,Female,18-24
86708BC0-C26C-41CE-A9A3-14FBE5F914A6,Scarborough,ON,M1B,2846,English,Male,18-24
0892BA72-1AEE-4CE6-99E2-0E6F22A0CD07,Mississauga,ON,L4T,0,English,Female,25-34
19ADD983-60A7-4BD0-88CF-EFDA7A61AE35,Sherbrooke,QC,J1H,0,French,Male,35-44
A5AF3123-6B3A-47AF-B0AD-4DD7ABBA1F96,Windsor,ON,n8x,458,English,Male,14-17
DAC37BE0-FE93-443C-83F0-5211F187A72B,North Sydney,NS,B2A,0,English,Female,18-24
670F5D11-2E56-4BD7-A887-20EE9D007A19,Victoria,BC,V9B,1180,English,Female,35-44
E5A70C97-BB15-44CF-9570-4B67A8298DAD,Montreal,QC,h4j,650,English,Female,25-34
2DE53DDA-6DC1-42C0-87A5-761F5E9EB6F0,Montréal,QC,H2L,2895,French,Male,25-34
37C4833D-2BE2-40CE-8830-2703CFB6D7FE,Burnaby,BC,V5a,0,English,Female,18-24
9700AC56-D29B-4FF9-93DF-1C96CE302BBB,Edmonton,AB,T5Y,700,English,Female,25-34
FA167C69-FCF2-449E-92D3-B5B18B6842C5,Montreal,QC,H2A,0,English,Male,25-34
84700F03-6D66-475E-943C-30F6DCB1C9A0,Timmins,ON,P4n,0,English,Female,14-17
2A5A2EB2-E406-410B-8FD7-2BCC0C01963C,Delta,BC,V4C,0,English,Male,35-44
3C96A258-B4D1-4EE2-89CD-C543E2A11576,Toronto,ON,M4M,0,English,Male,25-34
60CC7D94-3DAA-4160-BB14-A9EC7AD0DF58,Toronto,ON,M8V,0,English,Male,45-54
A9102E38-7ED9-422E-A7EC-2BC0D4E6291D,Cranbrook,BC,V1C,207,English,Male,25-34
49F0D049-3C28-43E3-8809-1F87B62E8FF6,Glace Bay,NS,b1a,423,English,Female,45-54
7C901657-F425-44AA-B611-641FFB6EA843,Ottawa,ON,K2A,2235,English,Male,35-44
10D81622-8275-4F95-BFDE-B78A4E5FFD96,Drumbo,ON,N0J,947,English,Male,35-44
2A48DD9B-C892-4284-9B6E-80CFF8ABF64B,Montreal,QC,H3H,0,English,Prefer not to answer,35-44
CBBC4500-3CA0-4389-97B5-2D5EE188F5B2,Kitchener,ON,N2M,975,English,Male,18-24
DD48AEB9-1E0E-43E9-9782-C5BE23709F2A,Steinbach,MB,R5G,146,English,Female,45-54
C780C2C2-EE14-4864-A4A1-BF0FBD504749,Brampton,ON,L6R,13298,English,Female,18-24
094C2667-0680-4A71-B2AD-52B310651D3B,Mono,ON,L9W,1785,English,Male,25-34
84D5785B-711D-4C0E-A143-960B138EB071,Barrie,ON,L4M,1082,English,Male,25-34
4F08FC8F-E4F4-457D-A541-37A50F149381,Winnipeg,MB,R2Y,310,English,Female,45-54
39A7DD00-26A5-4B22-8196-1FE8E961F2BD,Brampton,ON,L6Y,83,English,Female,18-24
754E8A37-95A8-42FD-B454-2EED1098AC02,Parkland County,AB,T7Y,4086,English,Male,45-54
E60C7987-5A0D-440F-AAA9-248B837A1172,Fenwick,ON,L0S,1531,English,Male,25-34
B2FDCEB6-4563-40B1-B251-FCF286FD4910,Lampman,SK,S0C,1186,English,Male,14-17
D3CAD9EB-9803-4952-8E76-7C11DF729857,Ajax,ON,v8g,0,English,Male,25-34
DA172533-D031-4B42-88AC-2E1091509DE2,Milton,ON,L9T,895,English,Female,35-44
31DA251B-8763-4D30-8D61-E38D22EBC9E3,Ajax,ON,m1b,0,English,Male,25-34
1D1C102D-C9E2-447D-8DF7-FC1D4365F725,Montréal,QC,H1W,600,French,Female,35-44
C0E5809C-A70A-4688-A851-AA0B76E2EC2D,Scarborough,ON,M1B,505,English,Female,25-34
33B8EB69-79FD-47E9-AAB8-3A06C7067B1F,Calgary,AB,T3L,3854,English,Female,14-17
3313A911-1506-4662-B6FD-54F464212053,Montréal,QC,H1L,0,French,Female,25-34
EDB42603-1E28-4755-8D5E-5DEE75DDB907,Montreal,QC,H2J,7505,English,Male,25-34
10EAEF93-C215-4F85-86D4-F78F5BC2DFDB,Brampton,ON,L6X,5020,English,Female,45-54
0F66B845-92D6-4975-BA59-99691D6D4D1A,Surrey,BC,V3X,0,English,Male,25-34
272D040D-D238-4E17-838F-A48CBBF44C70,London,ON,n6m,257,English,Female,35-44
1D5B1BF6-4C9B-4954-AE49-62861CF51E73,Scarborough,ON,m1j,720,English,Male,25-34
83FB3922-FD58-4169-BE4F-99935BFE13D5,Burnaby,BC,V5E,0,English,Female,35-44
93EB6A5A-0444-4C83-BF61-C89BD6F80FFB,Bridgewater,NS,B4V,604,English,Female,18-24
36080419-551F-454A-9E8A-319EF3F6160D,Toronto,ON,M5T,0,English,Male,25-34
58577B11-C075-4F81-A812-B1D02CB48666,Airdrie,AB,T4B,3364,English,Male,55+
9988A6D8-F1C4-4360-A1B1-94F22F1B4B16,Brights Grove,ON,N0N,165,English,Female,18-24
83425079-AEEF-4CD4-BE58-AF4B16F2B500,Grimsby,ON,L3M,800,English,Male,55+
CECFFB73-B935-4BA4-8CD5-244C2C2586DC,Toronto,ON,M1K,787,English,Male,55+
197B65A2-28A1-4543-81B5-D290E7409934,Nepean,ON,K2E,232,English,Female,45-54
EE431197-63B0-48E3-99B4-554C0DFE2E8C,Welland,ON,L3B,1643,English,Female,18-24
C65D5710-AC81-4697-9F01-7415153108BD,Toronto,ON,m3m,0,English,Male,18-24
093E860E-6D2E-4761-8266-4BF7C9586303,London,ON,n6l,1252,English,Male,35-44
37728377-732A-4D64-8474-9C4611643091,Listuguj,QC,G0C,0,English,Male,35-44
DDF51AC3-E2A0-4718-8951-33C01F49FDB7,Laval,QC,H7V,0,French,Female,35-44
973B2035-9EF7-4492-8F07-1A7AF442CAA5,Mississauga,ON,L4T,3276,English,Male,18-24
296F6C6A-0968-453C-8CC7-67047616B7DE,Watford,ON,N0M,2886,English,Female,14-17
47D04DE1-A13F-47E3-A737-F5924C310260,Brampton,ON,L6S,0,English,Female,25-34
AC9A626A-EE63-4E7C-A4FB-6EE3E9A0A8DF,Port Robinson,ON,L0S,2051,English,Male,14-17
111E4132-B4CF-4C66-8430-A28B77367AAD,Toronto,ON,M3M,500,English,Female,18-24
FD3621FC-88B7-41E8-8C37-18DAE3BC2BDB,Peterborough,ON,K9J,938,English,Male,14-17
0C11393A-035D-4666-835F-A24299245481,Etobicoke,ON,M9W,1474,English,Male,45-54
FB51A99A-2E35-4CB4-8821-9F6BBB2A221F,Hamilton,ON,L9A,930,English,Male,14-17
FD64C15D-48F3-41BD-AD26-6BA2EEED6881,Mississauga,ON,L5B,603,English,Male,14-17
DBD04F6F-E5EC-46FC-B3A0-C93FDB70A624,Deseronto,ON,K0K,348,English,Female,18-24
496BE06D-78BE-4FF5-8105-57588A654705,Montreal,QC,H3C,450,French,Male,14-17
8A4C6E12-57B1-42BD-8DAC-778323F6F094,Kingston,ON,K7M,1255,English,Male,45-54
BD366407-59FC-481C-9A26-EA055C6BDF80,Corner Brook,NL,A2H,949,English,Female,35-44
CF0AA9A2-E75D-482C-BF57-5E2A2ADAE5BB,Toronto,ON,M2N,0,English,Male,35-44
41A79859-FEB5-4936-ABBC-E203B0CEBA0E,Ottawa,ON,k1Y,350,English,Female,14-17
ADB079B1-9802-4034-A69E-E654BE456317,Oakville,ON,L6m,0,English,Male,14-17
